Date,Close
3/4/2015,31.13
3/5/2015,30.99
3/6/2015,30.5
3/9/2015,30.04
3/10/2015,29.82
3/11/2015,28.34
3/12/2015,28.22
3/13/2015,27.81
3/16/2015,27.47
3/17/2015,27.82
3/18/2015,28.22
3/19/2015,28.58
3/20/2015,28.66
3/23/2015,28.97
3/24/2015,29.17
3/25/2015,29.07
3/26/2015,28.76
3/27/2015,28.73
3/30/2015,28.13
3/31/2015,29
4/1/2015,28.35
4/2/2015,28.24
4/7/2015,28.45
4/8/2015,28.72
4/9/2015,28.21
4/10/2015,28.16
4/13/2015,27.49
4/14/2015,27.21
4/15/2015,27.58
4/16/2015,28.25
4/17/2015,28.01
4/20/2015,27.87
4/21/2015,28.59
4/22/2015,28.29
4/23/2015,29.02
4/24/2015,29.95
4/27/2015,30.43
4/28/2015,30.29
4/29/2015,29.94
4/30/2015,29.87
5/1/2015,30.37
5/4/2015,31.16
5/6/2015,30.23
5/7/2015,29.8
5/8/2015,29.25
5/11/2015,29.73
5/12/2015,30.4
5/13/2015,30.37
5/14/2015,29.87
5/15/2015,30.36
5/18/2015,30.13
5/19/2015,29.63
5/20/2015,28.82
5/21/2015,29.24
5/22/2015,29.25
5/25/2015,29.48
5/26/2015,29.82
5/27/2015,29.34
5/28/2015,29.2
5/29/2015,29.59
6/1/2015,29.19
6/2/2015,28.33
6/3/2015,28.53
6/4/2015,28.09
6/5/2015,27.9
6/9/2015,27.6
6/10/2015,27.66
6/11/2015,28.23
6/12/2015,27.9
6/15/2015,27.92
6/16/2015,27.75
6/17/2015,28.17
6/18/2015,27.97
6/19/2015,28.41
6/22/2015,28.32
6/23/2015,28.61
6/24/2015,28.55
6/25/2015,28.51
6/26/2015,27.5
6/29/2015,26.95
6/30/2015,27.05
7/1/2015,26.65
7/2/2015,27
7/3/2015,26.59
7/6/2015,26.01
7/7/2015,26.25
7/8/2015,25.43
7/9/2015,25.88
7/10/2015,26.65
7/13/2015,26.41
7/14/2015,27.1
7/15/2015,26.9
7/16/2015,27.08
7/17/2015,27.1
7/20/2015,26.99
7/21/2015,26.82
7/22/2015,26.27
7/23/2015,25.5
7/24/2015,25.27
7/27/2015,25.52
7/28/2015,25.37
7/29/2015,25.89
7/30/2015,26.5
7/31/2015,26.45
8/3/2015,26.18
8/4/2015,25.9
8/5/2015,26.49
8/6/2015,26.69
8/7/2015,25.93
8/10/2015,26
8/11/2015,26.34
8/12/2015,25.2
8/13/2015,25.51
8/14/2015,25.32
8/17/2015,25.2
8/18/2015,24.98
8/19/2015,25.16
8/20/2015,24.38
8/21/2015,24.1
8/24/2015,22.89
8/25/2015,23.34
8/26/2015,23.94
8/27/2015,24.06
8/28/2015,25.49
8/31/2015,25.18
9/1/2015,24.65
9/2/2015,24.63
9/3/2015,24.32
9/4/2015,24.69
9/7/2015,24.19
9/8/2015,24.7
9/9/2015,24.65
9/10/2015,23.92
9/11/2015,23.71
9/14/2015,23.74
9/15/2015,23.43
9/16/2015,23.97
9/17/2015,24.65
9/18/2015,24.46
9/21/2015,23.85
9/22/2015,23.86
9/23/2015,22.8
9/24/2015,22.85
9/25/2015,22.93
9/28/2015,23.15
9/29/2015,21.61
9/30/2015,22.22
10/1/2015,22.68
10/2/2015,22.6
10/5/2015,23.5
10/6/2015,23.88
10/7/2015,24.26
10/8/2015,25
10/9/2015,25.6
10/12/2015,25.36
10/13/2015,24.81
10/14/2015,24.68
10/15/2015,25.12
10/16/2015,25
10/19/2015,24.71
10/20/2015,23.99
10/21/2015,24.23
10/22/2015,24.1
10/23/2015,24.59
10/26/2015,24.57
10/27/2015,24.34
10/28/2015,23.78
10/29/2015,23.47
10/30/2015,23.02
11/2/2015,22.8
11/3/2015,23.02
11/4/2015,23.47
11/5/2015,23.28
11/6/2015,22.7
11/9/2015,21.42
11/10/2015,21.57
11/11/2015,20.95
11/12/2015,20.61
11/13/2015,20.23
11/16/2015,20.1
11/17/2015,20.37
11/18/2015,19.81
11/19/2015,20.42
11/20/2015,20.5
11/23/2015,20.07
11/24/2015,19.71
11/25/2015,19.67
11/26/2015,18.94
11/27/2015,18.77
11/30/2015,18.09
12/1/2015,18.75
12/2/2015,18.75
12/3/2015,18.19
12/4/2015,17.93
12/7/2015,17.99
12/8/2015,17.05
12/9/2015,17.16
12/10/2015,17.48
12/11/2015,17.2
12/14/2015,16.6
12/15/2015,16.27
12/16/2015,17.18
12/17/2015,17.02
12/18/2015,16.87
12/21/2015,17.13
12/22/2015,16.83
12/23/2015,17.41
12/24/2015,18.34
12/29/2015,18.11
12/30/2015,18.09
12/31/2015,17.86
1/4/2016,17.8
1/5/2016,17.58
1/6/2016,17.15
1/7/2016,16.33
1/8/2016,16.35
1/11/2016,15.55
1/12/2016,15.01
1/13/2016,14.77
1/14/2016,14.88
1/15/2016,15.07
1/18/2016,14.63
1/19/2016,14.73
1/20/2016,14.21
1/21/2016,14.2
1/22/2016,15.26
1/25/2016,15.28
1/27/2016,15.01
1/28/2016,15.1
1/29/2016,15.35
2/1/2016,15.25
2/2/2016,14.92
2/3/2016,14.27
2/4/2016,15.45
2/5/2016,16.2
2/8/2016,16.37
2/9/2016,16.05
2/10/2016,15.65
2/11/2016,15.24
2/12/2016,15.09
2/15/2016,15.98
2/16/2016,16.59
2/17/2016,15.98
2/18/2016,16.95
2/19/2016,16.61
2/22/2016,17.18
2/23/2016,17.63
2/24/2016,16.18
2/25/2016 16:00:00,16
2/26/2016 16:00:00,15.59
2/29/2016 16:00:00,15.57
3/1/2016 16:00:00,16.03
3/2/2016 16:00:00,16.73
3/3/2016 16:00:00,17.25
3/4/2016 16:00:00,17.67
3/7/2016 16:00:00,18.55
3/8/2016 16:00:00,18.21
3/9/2016 16:00:00,17.86
3/10/2016 16:00:00,17.7
3/11/2016 16:00:00,17.61
3/14/2016 16:00:00,17.74
3/15/2016 16:00:00,17.13
3/16/2016 16:00:00,16.88
3/17/2016 16:00:00,17.29
3/18/2016 16:00:00,18.1
3/21/2016 16:00:00,18.17
3/22/2016 16:00:00,17.9
3/23/2016 16:00:00,17.6
3/24/2016 16:00:00,17
3/29/2016 16:00:00,16.71
3/30/2016 16:00:00,16.62
3/31/2016 16:00:00,16.86
4/1/2016 16:00:00,16.97
4/4/2016 16:00:00,16.52
4/5/2016 16:00:00,15.98
4/6/2016 16:00:00,16.14
4/7/2016 16:00:00,16.39
4/8/2016 16:00:00,16.18
4/11/2016 16:00:00,16.55
4/12/2016 16:00:00,16.9
4/13/2016 16:00:00,17.92
4/14/2016 16:00:00,18.87
4/15/2016 16:00:00,19.28
4/18/2016 16:00:00,18.7
4/19/2016 16:00:00,19.67
4/20/2016 16:00:00,20.34
4/21/2016 16:00:00,21.05
4/22/2016 16:00:00,20.36
4/26/2016 16:00:00,19.76
4/27/2016 16:00:00,19.65
4/28/2016 16:00:00,20.57
4/29/2016 16:00:00,20.68
5/2/2016 16:00:00,20.92
5/3/2016 16:00:00,20.73
5/4/2016 16:00:00,18.79
5/5/2016 16:00:00,18.43
5/6/2016 16:00:00,18.46
5/9/2016 16:00:00,18.41
5/10/2016 16:00:00,17.83
5/11/2016 16:00:00,18.55
5/12/2016 16:00:00,18.59
5/13/2016 16:00:00,18.2
5/16/2016 16:00:00,18.56
5/17/2016 16:00:00,19.21
5/18/2016 16:00:00,19.43
5/19/2016 16:00:00,18.71
5/20/2016 16:00:00,18.85
5/23/2016 16:00:00,18.37
5/24/2016 16:00:00,18.38
5/25/2016 16:00:00,18.9
5/26/2016 16:00:00,19.41
5/27/2016 16:00:00,19.37
5/30/2016 16:00:00,19.24
5/31/2016 16:00:00,19.08
6/1/2016 16:00:00,18.49
6/2/2016 16:00:00,18.24
6/3/2016 16:00:00,18.53
6/6/2016 16:00:00,19.22
6/7/2016 16:00:00,19.78
6/8/2016 16:00:00,19.54
6/9/2016 16:00:00,19.61
6/10/2016 16:00:00,18.8
6/14/2016 16:00:00,18.2
6/15/2016 16:00:00,17.82
6/16/2016 16:00:00,17.89
6/17/2016 16:00:00,18.08
6/20/2016 16:00:00,18.87
